"A1","A11","A12","A2","A3","A4","A6","A7","A8","A9","C10","C11","C12","C2","C3","C4","C6","C7","C8","C9","E1","E10","E11","E12","E3","E5","E6","E7","E8","E9","EA1","EA10","EA11","EA12","EA3","EA4","EA5","EA6","EA8","EA9","V1","V10","V11","V12","V2","V4","V6","V7","V8","V9","VA1","VA10","VA11","VA12","VA2","VA3","VA4","VA5","VA6","VA7"
0,0,19,0,11,15,0,0,13,22,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3027.16,18447.96,714.33,9096.48,4192.01,872.67,3031.02,8158.36,3955.33,941.51,8134.5,3052.01,14145.81,2807.49,6266.47,7152.03,2925.83,3218.99,2571.48,15180.5,4302.14,3222.85,1762.36,1315.5,1143.98,3701.78,1847.66,1515.65,1270.84,2733.15,1924.14,2247.03,1853.15,1263.02,1386.84,1213.16,1428.18,2515.87,3941.01,2773.18,2640.67,7620.16,6615.84,8486.32,4830.51,4450.32,7971.15,6343.16,7080.33,6497.33,4666.01,1510.15,1318.66,6061.16,4180.03,4693.17,1388.13,6003.67,4572.63,6602.8
79,26,27,58,78,2,37,16,58,32,0,0,0,8,10,7,10,0,9,0,47.78,228,4,2,7,28.01,0,57,0,6.99,5,31,3,111,85,93,179,57,353,342,58,31,42.01,41,109.32,57,186,182.01,80,14,6,21,5,7,16,16,0,16,16.51,5
3217.15,11388.44,1136.41,6152.65,2986.41,1245.66,3196.42,5212.35,2878.92,1481.35,7448.25,5008.67,9670.99,5222.59,4799.49,6265.59,1841,5388.15,1799.81,10534.91,3977.15,3722.61,1992.52,1358.74,1117.24,2992.34,1731.84,1679.4,1186.59,1961.25,1824.66,2273.42,1983.43,1331.52,1495.91,1282.26,1673.79,2621.52,4366.26,3278.51,5798,13315.83,8432.01,13054.99,6051.83,5722.26,14747.83,8352.08,9708.15,7536.16,3311.1,1597.76,1326.08,6719.84,3774.27,3592.5,1367.65,6799.34,3468.92,7231.15
10528.45,23218.22,8333.5,12023.64,16818.84,8256.37,11685.81,9718.21,15532.21,10349.21,16541.34,14510.72,16760.82,15144.82,8890.64,12532.7,14838.8,15701.27,13897.65,18921.57,45315.3,40990.39,18297.68,14181.65,11695.26,22226.65,17769.25,15013.59,16759.13,13135.76,14195.06,17928.47,14607.23,8815.71,9238.33,8390.68,12371.17,18860.5,30131.47,22729.12,13897.51,30547.98,27596.05,33636.77,18263.65,14128.85,37167.28,26010.2,31293.25,20685.83,6641.28,16602.74,11400.82,10851.51,8666.19,11176.93,15682.09,11427.06,11325.96,11576.3
1523.5,1964.75,1013,1253,2063.5,1089,1824,910,1848.66,1290,1674,2618.83,2092,2931,1311.5,1296.5,1585,2875.33,1469,2501.5,5069,5858.17,2419,1706.5,1500,1905.34,2050.5,2365,2198.5,1329.16,2333,2881.5,1580.5,1806.5,2440.5,1568,1877,3002,6007.5,3820.67,925.5,2357.5,2423.84,3251,1731.83,1334,2263,2403.34,2375.5,1682,515,1613,998.5,590.5,927.5,1152.79,1537,601,1172.34,568.5
5209.15,15531.78,2649.66,7678.15,6471.67,2870.84,5532.5,6439.02,6212.66,3486.02,9256.17,6272.5,10364.66,6320.96,5096.82,7019.52,5255.33,6683.45,4923.32,11707.51,11194.7,12495.29,6856.63,4131.08,3639.43,7162.26,4678.56,5423.05,4602.03,4079.37,5915.18,8328.08,5013.17,4262.01,4119.33,2917.84,4693.76,8510.54,12823.83,8643.85,7273.34,15745.49,13522.35,16763.64,9439.67,7324.67,19909.32,13195.67,14990.19,10693.66,3883,4895.93,3302.79,7345.67,5038.18,5410.31,4326.44,7607.69,5233.5,8005.32
756,1896,447,982,833,557,871,732,720,535,3139,1996,2202,2003.8,1144,2589,850,2002.8,776,2502,1182,1650,976,432,565,733.67,460,780,538.34,310.33,608,876,682,370,388,269,378,644,1329,751,4525,10077,6211.17,9203,4302.66,3810,11069,5889.67,6135,5018,672,646.34,464,2445,915,781,527,2559,715.67,2696
162739.1,405586.07,101787.16,223155.53,207914.32,114591.2,172115.55,182335.42,196823.83,133600.26,260451.33,221412.76,297521.85,233565.41,154770.19,201246.92,179978.1,241216.82,171050.67,335383.64,447349.88,428008.37,201984.11,148259.14,124126.72,249447.91,183469.38,170676.58,167875.61,147240.49,159729.45,204352.54,169564.15,101833.74,105914.09,98536.08,134155.08,215512.52,331726.31,251366.93,176049.99,388838.58,337737.54,428165.65,232593.08,188613.83,473850.13,322744.23,381791.16,265450.4,102060.99,175162.58,122950.16,180673.8,128306.34,160249.75,162723.66,189343.04,159815.95,193419.99
26876.81,79462.91,15328.16,42850.17,35211.48,18095.11,27999.15,34888.22,33166.86,20313.58,53038.49,38122.7,57974.56,39238.58,28994.65,41855.67,30248.26,40381.42,28497.2,64293.61,59319.12,61392.45,31039.19,19862.23,18841.03,39873.69,24406.65,25644.69,25057.22,23890.01,25704.7,34373.02,27031.76,17107.12,18170.73,16319.11,22013.67,35278.58,54430.33,40957.93,44136.46,97741.14,75328.39,100489.77,52926.42,44566.62,116230.73,72728.95,83149.06,61491.99,20476.7,26366,18964.42,40019.95,24551.94,29104.4,23580.75,41269.07,29022.27,43251.34
